Date,Weekly Gulf Coast No 2 Diesel Retail Prices  (Dollars per Gallon),,
"Mar 21, 1994",1.065,,
"Mar 28, 1994",1.064,,
"Apr 04, 1994",1.069,,
"Apr 11, 1994",1.066,,
"Apr 18, 1994",1.058,,
"Apr 25, 1994",1.062,,
"May 02, 1994",1.06,,
"May 09, 1994",1.055,,
"May 16, 1994",1.054,,
"May 23, 1994",1.05,,
"May 30, 1994",1.05,,
"Jun 06, 1994",1.056,,
"Jun 13, 1994",1.058,,
"Jun 20, 1994",1.061,,
"Jun 27, 1994",1.073,,
"Jul 04, 1994",1.074,,
"Jul 11, 1994",1.078,,
"Jul 18, 1994",1.078,,
"Jul 25, 1994",1.078,,
"Aug 01, 1994",1.082,,
"Aug 08, 1994",1.098,,
"Aug 15, 1994",1.099,,
"Aug 22, 1994",1.094,,
"Aug 29, 1994",1.088,,
"Sep 05, 1994",1.088,,
"Sep 12, 1994",1.097,,
"Sep 19, 1994",1.088,,
"Sep 26, 1994",1.084,,
"Oct 03, 1994",1.08,,
"Oct 10, 1994",1.074,,
"Oct 17, 1994",1.077,,
"Oct 24, 1994",1.081,,
"Oct 31, 1994",1.093,,
"Nov 07, 1994",1.095,,
"Nov 14, 1994",1.095,,
"Nov 21, 1994",1.091,,
"Nov 28, 1994",1.086,,
"Dec 05, 1994",1.082,,
"Dec 12, 1994",1.076,,
"Dec 19, 1994",1.071,,
"Dec 26, 1994",1.065,,
"Jan 02, 1995",1.063,,
"Jan 09, 1995",1.065,,
"Jan 16, 1995",1.06,,
"Jan 23, 1995",1.056,,
"Jan 30, 1995",1.051,,
"Feb 06, 1995",1.05,,
"Feb 13, 1995",1.05,,
"Feb 20, 1995",1.05,,
"Feb 27, 1995",1.05,,
"Mar 06, 1995",1.051,,
"Mar 13, 1995",1.046,,
"Mar 20, 1995",1.043,,
"Mar 27, 1995",1.042,,
"Apr 03, 1995",1.053,,
"Apr 10, 1995",1.063,,
"Apr 17, 1995",1.07,,
"Apr 24, 1995",1.078,,
"May 01, 1995",1.08,,
"May 08, 1995",1.087,,
"May 15, 1995",1.086,,
"May 22, 1995",1.087,,
"May 29, 1995",1.087,,
"Jun 05, 1995",1.084,,
"Jun 12, 1995",1.084,,
"Jun 19, 1995",1.078,,
"Jun 26, 1995",1.071,,
"Jul 03, 1995",1.067,,
"Jul 10, 1995",1.063,,
"Jul 17, 1995",1.058,,
"Jul 24, 1995",1.056,,
"Jul 31, 1995",1.055,,
"Aug 07, 1995",1.056,,
"Aug 14, 1995",1.062,,
"Aug 21, 1995",1.064,,
"Aug 28, 1995",1.071,,
"Sep 04, 1995",1.079,,
"Sep 11, 1995",1.084,,
"Sep 18, 1995",1.085,,
"Sep 25, 1995",1.086,,
"Oct 02, 1995",1.08,,
"Oct 09, 1995",1.077,,
"Oct 16, 1995",1.071,,
"Oct 23, 1995",1.069,,
"Oct 30, 1995",1.063,,
"Nov 06, 1995",1.069,,
"Nov 13, 1995",1.073,,
"Nov 20, 1995",1.075,,
"Nov 27, 1995",1.074,,
"Dec 04, 1995",1.076,,
"Dec 11, 1995",1.076,,
"Dec 18, 1995",1.088,,
"Dec 25, 1995",1.099,,
"Jan 01, 1996",1.106,,
"Jan 08, 1996",1.107,,
"Jan 15, 1996",1.117,,
"Jan 22, 1996",1.106,,
"Jan 29, 1996",1.094,,
"Feb 05, 1996",1.088,,
"Feb 12, 1996",1.093,,
"Feb 19, 1996",1.115,,
"Feb 26, 1996",1.125,,
"Mar 04, 1996",1.135,,
"Mar 11, 1996",1.142,,
"Mar 18, 1996",1.139,,
"Mar 25, 1996",1.186,,
"Apr 01, 1996",1.196,,
"Apr 08, 1996",1.218,,
"Apr 15, 1996",1.265,,
"Apr 22, 1996",1.258,,
"Apr 29, 1996",1.214,,
"May 06, 1996",1.216,,
"May 13, 1996",1.204,,
"May 20, 1996",1.2,,
"May 27, 1996",1.184,,
"Jun 03, 1996",1.18,,
"Jun 10, 1996",1.158,,
"Jun 17, 1996",1.133,,
"Jun 24, 1996",1.117,,
"Jul 01, 1996",1.109,,
"Jul 08, 1996",1.113,,
"Jul 15, 1996",1.122,,
"Jul 22, 1996",1.129,,
"Jul 29, 1996",1.13,,
"Aug 05, 1996",1.128,,
"Aug 12, 1996",1.138,,
"Aug 19, 1996",1.156,,
"Aug 26, 1996",1.173,,
"Sep 02, 1996",1.179,,
"Sep 09, 1996",1.197,,
"Sep 16, 1996",1.228,,
"Sep 23, 1996",1.228,,
"Sep 30, 1996",1.243,,
"Oct 07, 1996",1.273,,
"Oct 14, 1996",1.294,,
"Oct 21, 1996",1.291,,
"Oct 28, 1996",1.292,,
"Nov 04, 1996",1.286,,
"Nov 11, 1996",1.277,,
"Nov 18, 1996",1.277,,
"Nov 25, 1996",1.283,,
"Dec 02, 1996",1.281,,
"Dec 09, 1996",1.279,,
"Dec 16, 1996",1.271,,
"Dec 23, 1996",1.264,,
"Dec 30, 1996",1.261,,
"Jan 06, 1997",1.255,,
"Jan 13, 1997",1.261,,
"Jan 20, 1997",1.259,,
"Jan 27, 1997",1.245,,
"Feb 03, 1997",1.237,,
"Feb 10, 1997",1.235,,
"Feb 17, 1997",1.225,,
"Feb 24, 1997",1.222,,
"Mar 03, 1997",1.202,,
"Mar 10, 1997",1.175,,
"Mar 17, 1997",1.166,,
"Mar 24, 1997",1.163,,
"Mar 31, 1997",1.172,,
"Apr 07, 1997",1.167,,
"Apr 14, 1997",1.16,,
"Apr 21, 1997",1.157,,
"Apr 28, 1997",1.152,,
"May 05, 1997",1.152,,
"May 12, 1997",1.148,,
"May 19, 1997",1.157,,
"May 26, 1997",1.166,,
"Jun 02, 1997",1.162,,
"Jun 09, 1997",1.158,,
"Jun 16, 1997",1.141,,
"Jun 23, 1997",1.134,,
"Jun 30, 1997",1.129,,
"Jul 07, 1997",1.135,,
"Jul 14, 1997",1.126,,
"Jul 21, 1997",1.123,,
"Jul 28, 1997",1.12,,
"Aug 04, 1997",1.13,,
"Aug 11, 1997",1.144,,
"Aug 18, 1997",1.141,,
"Aug 25, 1997",1.141,,
"Sep 01, 1997",1.132,,
"Sep 08, 1997",1.135,,
"Sep 15, 1997",1.124,,
"Sep 22, 1997",1.125,,
"Sep 29, 1997",1.133,,
"Oct 06, 1997",1.148,,
"Oct 13, 1997",1.161,,
"Oct 20, 1997",1.161,,
"Oct 27, 1997",1.157,,
"Nov 03, 1997",1.162,,
"Nov 10, 1997",1.161,,
"Nov 17, 1997",1.165,,
"Nov 24, 1997",1.158,,
"Dec 01, 1997",1.16,,
"Dec 08, 1997",1.151,,
"Dec 15, 1997",1.133,,
"Dec 22, 1997",1.132,,
"Dec 29, 1997",1.129,,
"Jan 05, 1998",1.125,,
"Jan 12, 1998",1.112,,
"Jan 19, 1998",1.091,,
"Jan 26, 1998",1.079,,
"Feb 02, 1998",1.073,,
"Feb 09, 1998",1.068,,
"Feb 16, 1998",1.062,,
"Feb 23, 1998",1.055,,
"Mar 02, 1998",1.048,,
"Mar 09, 1998",1.043,,
"Mar 16, 1998",1.039,,
"Mar 23, 1998",1.031,,
"Mar 30, 1998",1.042,,
"Apr 06, 1998",1.047,,
"Apr 13, 1998",1.039,,
"Apr 20, 1998",1.045,,
"Apr 27, 1998",1.048,,
"May 04, 1998",1.043,,
"May 11, 1998",1.053,,
"May 18, 1998",1.043,,
