Category,Year,Gdp
TOTAL U.S. GDP,2006,13815.6
"For-hire transportation services GDP, total",2006,410.3
Air transportation,2006,68.0
Rail transportation,2006,32.1
Water transportation,2006,12.7
Truck transportation,2006,125.5
Transit and ground passenger transportation,2006,25.9
Pipeline transportation,2006,10.7
Other transportation and support activities,2006,94.6
Warehousing and storage,2006,40.8
For-hire transportation services,2006,2.97
Air transportation,2006,0.49
Rail transportation,2006,0.23
Water transportation,2006,0.09
Truck transportation,2006,0.91
Transit and ground passenger transportation,2006,0.19
Pipeline transportation,2006,0.08
Other transportation and support activities,2006,0.68
Warehousing and storage,2006,0.3
Air transportation,2006,16.58
Rail transportation,2006,7.83
Water transportation,2006,3.1
Truck transportation,2006,30.58
Transit and ground passenger transportation,2006,6.31
Pipeline transportation,2006,2.61
Other transportation and support activities,2006,23.05
Warehousing and storage,2006,9.94
TOTAL U.S. GDP,2007,14474.2
"For-hire transportation services GDP, total",2007,414.0
Air transportation,2007,73.2
Rail transportation,2007,32.4
Water transportation,2007,14.2
Truck transportation,2007,123.7
Transit and ground passenger transportation,2007,26.3
Pipeline transportation,2007,13.0
Other transportation and support activities,2007,89.9
Warehousing and storage,2007,41.3
For-hire transportation services,2007,2.86
Air transportation,2007,0.51
Rail transportation,2007,0.22
Water transportation,2007,0.1
Truck transportation,2007,0.85
Transit and ground passenger transportation,2007,0.18
Pipeline transportation,2007,0.09
Other transportation and support activities,2007,0.62
Warehousing and storage,2007,0.29
Air transportation,2007,17.68
Rail transportation,2007,7.82
Water transportation,2007,3.44
Truck transportation,2007,29.88
Transit and ground passenger transportation,2007,6.35
Pipeline transportation,2007,3.14
Other transportation and support activities,2007,21.72
Warehousing and storage,2007,9.97
TOTAL U.S. GDP,2008,14769.9
"For-hire transportation services GDP, total",2008,427.0
Air transportation,2008,68.7
Rail transportation,2008,37.3
Water transportation,2008,16.4
Truck transportation,2008,120.5
Transit and ground passenger transportation,2008,28.1
Pipeline transportation,2008,16.3
Other transportation and support activities,2008,94.4
Warehousing and storage,2008,45.3
For-hire transportation services,2008,2.89
