Category,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Air carrier, domestica",22.80,20.46,21.91,28.22,46.31,48.77,59.71,60.95,63.07,65.62,65.52,65.13,71.54,71.10,78.71,78.23,77.14,57.64,49.54,(R) 59.15,(R) 50.09,(R) 70.52,(R) 66.68,(R) 73.04,(R) 78.53,(R) 92.46,(R) 67.33,129.67,133.51,135.47,135.85,124.04,119.90,125.15,137.49,137.67,122.98,97.86
Truckb,N,N,N,N,N,5.34,7.64,7.54,7.75,8.48,9.16,10.55,10.70,9.97,10.17,10.56,11.12,10.76,10.03,10.12,10.88,12.19,13.40,13.22,15.96,12.03,14.30,17.51,16.72,15.99,17.68,17.75,17.34,16.10,17.55,(R) 17.84,17.88,U
Class I rail,1.40,1.27,1.43,2.04,2.87,3.04,2.66,2.59,2.58,2.52,2.49,2.40,2.35,2.40,2.34,2.28,2.26,2.24,2.26,2.28,2.35,2.62,2.84,2.99,3.34,3.01,3.32,3.75,3.95,4.05,4.05,3.97,3.99,4.02,4.23,4.42,4.40,U
"Water Transportation, domestic",N,N,N,N,N,N,1.42,1.41,1.39,1.36,1.4,1.63,1.56,1.5,1.52,1.58,1.67,1.75,1.71,1.77,1.83,U,U,U,U,2.67,2.61,2.84,3.18,3.36,3.37,3.25,3.00,2.74,2.88,3.22,2.94,U
Oil pipeline,N,N,N,U,N,N,1.22,1.18,1.21,1.17,1.23,1.28,1.18,1.17,1.11,1.17,1.30,1.34,1.33,1.31,1.34,1.30,1.47,1.61,1.53,1.76,U,U,1.63,1.92,2.26,2.49,2.66,2.88,3.11,3.41,3.44,U
Producer Price Index (1990 = 100)c,28,29,33,49,74,88,100,102,103,105,105,107,110,111,110,112,116,118,117,120,125,131,135,140,149,145,151,160,163,165,168,163,161,166,171,173,170,185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
