DATE,PCU336120336120P
2003-12-01,100.0
2004-01-01,101.3
2004-02-01,101.4
2004-03-01,101.5
2004-04-01,101.6
2004-05-01,101.7
2004-06-01,102.1
2004-07-01,102.0
2004-08-01,102.6
2004-09-01,103.1
2004-10-01,104.0
2004-11-01,103.5
2004-12-01,103.6
2005-01-01,104.4
2005-02-01,104.7
2005-03-01,104.7
2005-04-01,105.5
2005-05-01,105.8
2005-06-01,105.9
2005-07-01,106.8
2005-08-01,107.9
2005-09-01,107.5
2005-10-01,108.5
2005-11-01,108.5
2005-12-01,108.5
2006-01-01,108.5
2006-02-01,108.7
2006-03-01,109.0
2006-04-01,110.5
2006-05-01,110.5
2006-06-01,110.5
2006-07-01,110.5
2006-08-01,110.8
2006-09-01,110.6
2006-10-01,111.7
2006-11-01,113.6
2006-12-01,113.6
2007-01-01,113.7
2007-02-01,113.7
2007-03-01,113.7
2007-04-01,116.8
2007-05-01,116.8
2007-06-01,116.8
2007-07-01,116.7
2007-08-01,116.8
2007-09-01,116.8
2007-10-01,116.8
2007-11-01,116.8
2007-12-01,116.8
2008-01-01,118.4
2008-02-01,118.4
2008-03-01,118.4
2008-04-01,118.6
2008-05-01,118.6
2008-06-01,119.2
2008-07-01,119.3
2008-08-01,119.3
2008-09-01,119.6
2008-10-01,121.0
2008-11-01,121.1
2008-12-01,121.1
2009-01-01,123.7
2009-02-01,123.7
2009-03-01,123.8
2009-04-01,123.8
2009-05-01,124.5
2009-06-01,124.6
2009-07-01,124.6
2009-08-01,125.9
2009-09-01,125.9
2009-10-01,126.2
2009-11-01,125.8
2009-12-01,126.7
2010-01-01,126.7
2010-02-01,126.8
2010-03-01,126.8
2010-04-01,126.8
2010-05-01,126.8
2010-06-01,130.1
2010-07-01,130.2
2010-08-01,129.9
2010-09-01,130.1
2010-10-01,130.3
2010-11-01,130.5
2010-12-01,130.5
2011-01-01,131.1
2011-02-01,130.8
2011-03-01,130.8
2011-04-01,130.8
2011-05-01,131.3
2011-06-01,131.3
2011-07-01,132.0
2011-08-01,132.0
2011-09-01,132.1
2011-10-01,133.3
2011-11-01,133.4
2011-12-01,133.4
2012-01-01,134.3
2012-02-01,134.6
2012-03-01,134.7
2012-04-01,135.2
2012-05-01,135.4
2012-06-01,135.6
2012-07-01,135.5
2012-08-01,135.5
2012-09-01,135.5
2012-10-01,135.5
2012-11-01,136.1
2012-12-01,136.4
2013-01-01,137.0
2013-02-01,136.7
2013-03-01,136.4
2013-04-01,136.0
2013-05-01,136.6
2013-06-01,137.3
2013-07-01,137.5
2013-08-01,137.3
2013-09-01,137.3
2013-10-01,138.5
2013-11-01,139.1
2013-12-01,139.1
2014-01-01,139.7
2014-02-01,140.1
2014-03-01,140.2
2014-04-01,140.0
2014-05-01,139.9
2014-06-01,140.0
2014-07-01,140.0
2014-08-01,140.3
2014-09-01,140.3
2014-10-01,140.5
2014-11-01,140.6
2014-12-01,140.5
2015-01-01,141.7
2015-02-01,141.9
2015-03-01,143.0
2015-04-01,143.0
2015-05-01,142.9
2015-06-01,142.9
2015-07-01,143.4
2015-08-01,143.5
2015-09-01,143.6
2015-10-01,143.7
2015-11-01,143.8
2015-12-01,144.0
2016-01-01,145.5
2016-02-01,145.5
2016-03-01,145.5
2016-04-01,145.9
2016-05-01,146.1
2016-06-01,145.8
2016-07-01,145.8
2016-08-01,146.0
2016-09-01,146.5
2016-10-01,146.3
2016-11-01,146.6
2016-12-01,146.7
2017-01-01,149.2
2017-02-01,148.9
2017-03-01,148.8
2017-04-01,149.5
2017-05-01,149.6
2017-06-01,148.6
2017-07-01,148.9
2017-08-01,149.1
2017-09-01,148.7
2017-10-01,148.4
2017-11-01,148.7
2017-12-01,148.9
2018-01-01,149.0
2018-02-01,149.9
2018-03-01,150.2
2018-04-01,149.9
2018-05-01,150.3
2018-06-01,150.3
2018-07-01,150.7
2018-08-01,151.9
2018-09-01,151.8
2018-10-01,151.8
2018-11-01,151.8
2018-12-01,151.8
2019-01-01,152.1
2019-02-01,152.1
2019-03-01,152.1
2019-04-01,152.1
2019-05-01,152.1
2019-06-01,152.1
2019-07-01,152.7
2019-08-01,152.7
2019-09-01,152.7
2019-10-01,152.6
2019-11-01,152.6
2019-12-01,152.6
2020-01-01,153.3
2020-02-01,153.3
2020-03-01,153.3
2020-04-01,153.4
2020-05-01,153.4
2020-06-01,153.4
2020-07-01,154.2
2020-08-01,154.2
2020-09-01,154.3
2020-10-01,154.4
2020-11-01,154.4
2020-12-01,154.5
2021-01-01,154.5
2021-02-01,154.5
2021-03-01,154.6
2021-04-01,154.8
2021-05-01,154.8
2021-06-01,155.1
2021-07-01,155.125
2021-08-01,155.478
2021-09-01,155.478
2021-10-01,155.533
2021-11-01,155.667
2021-12-01,155.667
2022-01-01,156.323
2022-02-01,156.379
2022-03-01,156.379
2022-04-01,156.379
2022-05-01,158.543
2022-06-01,159.258
2022-07-01,159.277
2022-08-01,159.403
2022-09-01,159.125
