Category,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Air carrier, domestic, all services","2,178","3,691","7,180","12,020","26,440","37,629","58,092","56,481","58,133","63,495","66,207","71,217","77,160","82,356","86,687","91,079","99,110","86,589","79,501","89,011","101,000","112,053","121,087","124,604","129,795","109,741","119,166","132,888","135,879","139,184","145,938","147,025","151,195","160,640","(R) 171,729","(R) 179,392","92,806",U
Truckinga,N,N,N,N,N,N,"127,314","126,772","135,437","142,547","155,713","161,806","172,743","183,153","197,314","207,751","223,197","221,355","222,383","228,204","247,866","266,996","286,211","295,710","299,368","247,178","261,818","289,043","307,365","320,439","345,965","352,576","357,314","380,940","(R) 410,925","(R) 422,481","433,998",U
Interurban and rural bus,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,"1,205","1,037","1,106","1,151","1,271","1,391","1,463","1,595","1,730","1,718","(R) 1,708",992,U
Transitb,"1,407","1,444","1,707","3,451","6,510","12,195","16,053","16,949","17,044","16,787","17,367","17,253","18,095","18,472","19,239","20,686","21,971","23,725","24,792","25,990","27,351","29,088","30,741","34,753","37,535","38,617","39,086","41,017","42,850","44,271","46,393","46,416","48,699","50,094","51,764","54,360","54,236",U
Class I rail,"9,514","10,208","11,992","16,402","28,258","27,586","28,370","27,845","28,349","28,825","30,809","32,279","32,693","33,118","33,151","33,521","34,102","34,576","35,327","36,639","40,517","46,118","52,152","54,600","61,243","47,849","58,165","67,154","69,887","72,873","77,659","71,709","65,762","69,998","76,177","74,300","66,049",U
Intercity /Amtrakc,N,N,N,253,454,832,"1,308","1,347","1,320","1,400","1,409","1,490","1,550","1,669","2,244","2,011","2,111","2,109","2,228","2,074","1,865","1,886","2,043","2,153","2,453","2,353","2,513","2,707","2,877","2,992","3,234","3,206","3,146","3,175","3,208","3,323","2,265","1,933"
Water transportation (domestic)d,U,U,U,U,U,U,"11,532",U,U,U,U,"11,093","10,491","9,670","9,184","8,966","8,819","8,512","8,365","8,308","8,482",U,U,U,U,"13,258","13,718","14,824","15,744","16,314","17,807","16,800","15,297","14,520","(R) 15,375","16,012","12,932",U
Oil pipelinee,U,U,U,U,U,U,"13,443",U,U,U,U,"11,482","11,289","10,951","10,166","10,713","7,483","7,730","7,812","7,704","8,020","7,917","8,517","8,996","9,244","9,987","11,219","12,562","14,007","15,734","19,281","22,019","23,100","25,427","29,035","32,895","31,898",U
Gas pipeline (investor-owned)f ,"8,700","11,500","16,400","30,551","85,918","103,945","66,027","63,922","66,405","69,965","63,430","58,435","72,025",U,"57,548","59,142","72,075","79,276","68,594","75,567","80,331","102,061","97,197","97,236","109,600","87,457","84,362","79,797","68,424","75,587","77,827","69,170","69,645","74,084","79,606","79,217","76,830",U
Transmission companies,"3,190","4,088","5,928","11,898","41,604","45,738","21,756","19,818","20,193","19,873","13,841","12,092","12,050","10,339","9,450","9,555","10,404","10,257","10,096","10,892","11,313","16,547","15,364","15,846","18,186","13,127","12,188","12,948","9,208","12,184","12,087","10,777","11,095","12,091","12,872","12,592","11,305",U
Distribution companies,N,N,N,"5,938","14,013","21,510","18,750","17,812","19,854","20,307","20,911","19,421","30,407","30,864","28,182","28,135","34,696","39,179","31,210","38,199","40,410","51,022","48,942","46,064","56,092","44,937","44,624","40,514","34,518","38,284","37,652","33,108","33,133","36,803","39,500","39,280","37,637",U
Integrated companies,N,N,N,"6,962","17,300","17,396","10,117","11,047","10,279","12,506","11,827","10,899","11,941","12,125","2,974","3,086","3,755","4,184","3,150","3,753","2,424","2,803","2,698","2,940","2,900","2,606","2,295","2,448","2,131","2,605","2,508","2,140","2,449","2,290","2,420","2,398","3,277",U
Combination companies,N,N,N,"5,753","13,001","19,301","15,404","15,245","16,079","17,279","16,851","16,023","17,627",U,"16,942","18,366","23,220","25,656","24,138","22,723","26,184","31,689","30,193","32,386","32,422","26,787","25,255","23,887","22,567","22,514","25,580","23,145","22,968","22,900","24,814","24,947","24,611",U
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
