DATE,VAPGDPT
1/1/2005,2.8
4/1/2005,2.9
7/1/2005,2.9
10/1/2005,3
1/1/2006,3
4/1/2006,3
7/1/2006,3
10/1/2006,3
1/1/2007,2.9
4/1/2007,2.9
7/1/2007,2.8
10/1/2007,2.9
1/1/2008,2.8
4/1/2008,2.8
7/1/2008,2.9
10/1/2008,3
1/1/2009,2.8
4/1/2009,2.8
7/1/2009,2.8
10/1/2009,2.8
1/1/2010,2.8
4/1/2010,2.9
7/1/2010,2.9
10/1/2010,2.9
1/1/2011,2.9
4/1/2011,2.9
7/1/2011,2.9
10/1/2011,2.9
1/1/2012,2.9
4/1/2012,2.9
7/1/2012,2.9
10/1/2012,2.9
1/1/2013,2.9
4/1/2013,2.9
7/1/2013,2.9
10/1/2013,3
1/1/2014,2.9
4/1/2014,3
7/1/2014,3
10/1/2014,3
1/1/2015,3.1
4/1/2015,3.1
7/1/2015,3.1
10/1/2015,3.1
1/1/2016,3.1
4/1/2016,3.1
7/1/2016,3.1
10/1/2016,3.1
1/1/2017,3.1
4/1/2017,3.1
7/1/2017,3.1
10/1/2017,3.1
1/1/2018,3.1
4/1/2018,3.1
7/1/2018,3.1
10/1/2018,3.2
1/1/2019,3.2
4/1/2019,3.2
7/1/2019,3.2
10/1/2019,3.2
1/1/2020,3.1
4/1/2020,2.6
7/1/2020,2.7
10/1/2020,2.8
1/1/2021,2.8
4/1/2021,2.9
7/1/2021,3
10/1/2021,3.1
1/1/2022,3.1
4/1/2022,3.2
