Category,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
TOTAL U.S. GDP,"2,788.1","4,217.5","5,800.5","7,414.7","7,838.5","8,577.6","9,062.8","9,631.2","10,251.0","10,581.9","10,929.1","11,456.5","12,217.2","13,039.2","13,815.6","14,474.2","14,769.9","14,478.1","15,049.0","15,599.7","16,254.0","16,843.2","17,550.7","18,206.0","18,695.1","19,479.6","20,527.2","21,372.6","20,893.7","22,996.1"
"For-hire transportation services GDP, total",102.6,137.1,172.8,231.7,241.3,257.3,280.0,290.1,307.8,308.0,305.6,321.4,352.0,375.6,410.3,414.0,427.0,404.4,433.5,452.5,473.3,492.1,522.5,566.1,582.4,609.4,648.1,685.7,572.0,642.6
Air transportation,13.1,19.3,31.3,46.2,46.9,54.7,55.2,57.7,58.1,49.2,52.0,54.6,60.8,61.7,68.0,73.2,68.7,71.6,84.3,84.8,88.1,94.2,103.0,117.7,129.2,134.8,136.1,146.3,57.9,66.8
Rail transportation,20.2,21.0,18.6,21.1,20.9,20.0,22.2,22.6,23.3,23.3,21.7,23.4,25.2,28.0,32.1,32.4,37.3,32.9,33.8,36.6,39.7,41.0,43.9,44.3,40.1,41.3,43.7,42.4,37.6,38.1
Water transportation,3.5,4.0,5.1,6.3,6.6,6.6,6.5,6.6,8.0,8.3,7.0,8.2,8.6,8.8,12.7,14.2,16.4,15.6,14.7,14.1,13.2,16.5,16.2,15.8,13.5,13.0,14.2,14.4,9.6,11.0
Truck transportation,28.4,39.4,49.7,69.3,73.1,77.1,85.6,92.4,98.0,97.2,97.1,101.4,109.1,116.9,125.5,123.7,120.5,109.5,113.5,122.0,128.4,131.1,140.8,149.1,148.9,156.3,167.7,173.0,164.7,183.7
Transit and ground passenger transportation,5.8,7.3,9.0,11.8,12.8,15.1,16.2,17.7,18.5,19.0,19.5,21.4,23.0,23.5,25.9,26.3,28.1,29.4,31.4,34.2,36.5,38.0,40.6,42.2,42.7,45.4,47.6,53.9,37.4,42.5
Pipeline transportation,5.1,7.3,6.0,6.7,7.1,7.0,9.8,10.4,9.4,16.1,10.0,10.3,10.6,9.8,10.7,13.0,16.3,14.6,20.2,21.6,25.3,27.0,30.2,36.8,39.2,41.0,44.5,43.3,41.2,42.6
Other transportation and support activities,20.2,29.3,39.9,51.6,54.3,55.9,59.8,58.1,65.8,69.1,71.7,73.3,80.9,88.8,94.6,89.9,94.4,85.6,90.5,94.0,94.9,97.1,100.0,108.1,110.9,115.1,124.5,136.3,143.8,167.9
Warehousing and storage,6.4,9.5,13.0,18.8,19.6,21.0,24.8,24.6,26.7,25.8,26.6,28.7,33.6,38.1,40.8,41.3,45.3,45.1,45.2,45.2,47.2,47.3,47.8,51.9,58.0,62.4,69.9,76.1,79.9,90.0
Percent of U.S. GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
