Category,Value,,Tons,,Ton-miles,,Average miles per shipment
Transportation mode ,(billions of dollars),Percent,(millions),Percent,(billions),Percent,
TOTAL all modes,"1,680.2",100.0,"2,968.0",100.0,382.5,100.0,189
"Single modes, total","1,612.1",95.9,"2,889.5",97.4,307.2,80.3,72
Trucka,1091.3,64.9,1814.8,61.1,126.8,33.2,63
For-hire,567.6,33.8,932.7,31.4,92.1,24.1,153
Privateb,523.7,31.2,882.2,29.7,34.7,9.1,28
Rail,39.0,2.3,90.4,3.0,61.7,16.1,640
Water,137.1,8.2,304.2,10.2,60.9,15.9,72
Air,4.8,0.3,0.3,0.0,0.2,0.1,"1,333"
Pipelinec,339.9,20.2,679.8,22.9,S,S,S
"Multiple modes, total",68.1,4.1,78.4,2.6,75.3,19.7,947
"Parcel, U.S. Postal Service or Courier",13.5,0.8,0.3,0.0,0.2,0.1,949
Other,54.6,3.3,78.1,2.6,75.0,24.4,4.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
