Categories,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,(R) 2014,(R) 2015,(R) 2016,2017,2018,(R) 2019,(R) 2020
TOTAL U.S. ton-miles of freight ,"4,207,610","4,230,548","4,122,111","4,013,105","4,317,065","4,342,117","4,360,857","4,409,101","4,414,966","4,501,147","4,583,526","4,503,753","4,629,506","4,559,785","4,781,309","4,731,369","4,851,060","5,006,222","5,059,466","5,081,594","5,100,830","5,111,348","5,230,738","5,305,098","5,453,928","5,412,950","5,401,380","5,430,874","5,168,527","5,023,111","4,992,564","4,909,454","4,895,313","5,041,501","5,180,010","5,110,527","5,007,566","5,427,868","5,511,658","5,420,408","5,250,835"
Aira,"4,173","4,408","4,247","4,779","5,175","4,855","6,230","7,583","8,169","8,954","9,067","8,860","9,823","10,664","11,747","12,519","12,853","13,625","13,880","14,194","14,983","13,167","13,918","15,233","16,453","15,746","15,363","15,143","13,747","12,027","12,540","12,134","12,367","12,428","12,845","13,190","13,758","15,140","15,969","16,413","18,746"
Truck,"1,301,607","1,367,507","1,412,612","1,256,800","1,511,730","1,562,864","1,559,819","1,507,950","1,419,920","1,590,149","1,665,903","1,576,557","1,646,797","1,593,426","1,699,887","1,534,092","1,613,943","1,837,471","1,940,409","1,966,602","2,006,269","2,056,861","2,217,527","2,256,703","2,280,968","2,243,632","2,189,999","2,236,205","1,875,725","2,054,264","1,830,761","1,650,557","1,838,648","2,004,478","1,956,831","1,985,960","2,060,878","2,366,049","2,341,705","2,367,988","2,426,766"
Railroadb,"932,000","924,000","810,000","841,000","900,091","876,209","891,235","951,940","1,025,683","1,045,628","1,033,969","1,038,875","1,066,781","1,109,309","1,200,701","1,305,688","1,355,975","1,348,926","1,376,802","1,433,461","1,465,960","1,495,472","1,507,011","1,551,438","1,662,598","1,696,425","1,771,897","1,770,545","1,777,236","1,532,214","1,691,004","1,729,256","1,712,567","1,740,687","1,851,229","1,738,283","1,585,440","1,674,784","1,729,638","1,614,498","1,439,814"
Total water transportation,"1,016,085","1,023,637","964,897","989,162","966,478","964,911","944,911","968,404","970,685","911,232","932,151","938,671","949,345","882,606","909,405","914,363","870,193","813,800","780,947","764,448","763,421","736,930","721,092","714,448","745,641","705,348","683,705","670,031","633,938","571,531","605,666","603,983","577,114","564,648","608,918","589,632","580,954","600,910","608,756","565,153","539,470"
    Foreign water trafficc,"94,249","94,223","78,428","69,596","78,758","71,941","71,509","72,988","80,657","95,682","98,608","90,272","92,660","92,948","94,486","106,635","105,507","106,390","107,705","108,586","117,622","115,244","109,315","108,294","122,366","113,901","120,350","116,880","113,442","94,178","103,393","104,558","102,256","99,576","104,446","99,139","103,191","(R) 111,879","116,933","108,773","100,271"
    Domestic water traffic,"921,836","929,413","886,469","919,566","887,720","892,970","873,401","895,416","890,028","815,550","833,544","848,399","856,685","789,658","814,919","807,728","764,687","707,410","673,242","655,862","645,799","621,686","611,777","606,154","623,275","591,447","563,356","553,151","520,496","477,353","502,273","499,426","474,858","465,072","504,473","490,493","477,762","489,031","491,823","456,380","439,199"
    Coastwise,"631,149","634,765","632,707","649,750","593,923","610,977","580,889","586,818","561,595","483,889","479,134","502,133","502,311","448,404","457,601","440,345","408,086","349,843","314,864","292,730","283,872","274,559","263,688","278,919","281,888","263,580","227,136","228,052","207,854","196,290","192,348","180,212","157,097","163,810","172,470","175,603","171,709","176,048","173,604","164,042","157,675"
    Lakewise,"61,747","62,148","35,623","43,088","49,784","48,184","43,198","50,077","58,160","58,308","60,930","55,339","55,785","56,438","58,263","59,704","58,335","62,166","61,654","57,045","57,879","50,854","53,145","47,539","55,740","51,976","54,771","51,893","50,263","33,509","45,346","49,120","47,974","48,673","49,543","46,436","43,409","47,466","46,932","47,098","37,382"
    Internal,"227,343","231,184","217,027","225,628","242,855","232,708","248,117","257,336","269,036","272,157","292,393","289,959","297,639","283,894","297,762","306,329","296,791","294,023","295,343","304,724","302,558","294,861","(R) 293,626","278,360","284,162","274,366","279,858","271,617","(R) 260,945","245,219","263,292","268,807","268,482","251,469","281,113","267,197","261,385","264,176","270,160","244,173","243,215"
